weapon,skin,wear,float,pattern,stattrak,price,phase,fade_seed,fade_percentage,fade_rank,fade_type,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
AWP,Fade,Factory New,0.0038286034948637,635,0,1227.87,,635,88.236305,588,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0,635,0,1211.01,,635,88.236305,588,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.009152210317552,85,0,997.0,,85,87.54102,620,fade,4,32.47,8.1175,14.05,0.0325677031093279,Sticker | Battle Scarred (Holo),14.05,Sticker | b1t (Holo) | Antwerp 2022,2.22,Sticker | Assassin (Holo),2.19,Sticker | s1mple (Holo) | Antwerp 2022,14.01,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.014890697867594766,85,0,981.47,,85,87.54102,620,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.013255517890078701,85,0,992.66,,85,87.54102,620,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0148906978675947,85,0,981.47,,85,87.54102,620,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0132555178900787,85,0,992.66,,85,87.54102,620,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0221266932785511,218,0,1491.18,,218,93.56623,325,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0443483740091323,738,0,1075.0,,738,86.58022,669,fade,1,333.79,333.79,333.79,0.3105023255813953,Sticker | iBUYPOWER (Holo) | Cologne 2014,333.79,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0435266895198991,738,0,825.93,,738,86.58022,669,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.03714431397168545,738,0,788.68,,738,86.58022,669,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0435266895198991,738,0,825.93,,738,86.58022,669,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0371443139716854,738,0,788.68,,738,86.58022,669,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.068064846098423,660,0,1288.0,,660,99.180084,40,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0697721019387245,908,0,1289.0,,908,99.36392,28,fade,1,5.64,5.64,5.64,0.0043754848719937,Sticker | Taste Buddy (Holo),5.64,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.07314016117453394,908,0,1279.68,,908,99.36392,28,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.07107682406834828,908,0,1317.39,,908,99.36392,28,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0731401611745339,908,0,1279.68,,908,99.36392,28,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0710768240683482,908,0,1317.39,,908,99.36392,28,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0061182398349046,413,0,1059.81,,413,95.760315,215,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0603538863360881,803,0,1100.0,,803,98.60144,72,fade,5,12.87,2.574,3.2,0.0116999999999999,Sticker | No Pats (Holo),3.2,Sticker | No Pats (Holo),3.2,Sticker | No Pats (Holo),3.2,Sticker | No Pats (Holo),3.2,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.06304825273609992,803,0,1093.1,,803,98.60144,72,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.06153802955099637,803,0,1065.96,,803,98.60144,72,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0630482527360999,803,0,1093.1,,803,98.60144,72,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0615380295509963,803,0,1065.96,,803,98.60144,72,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0008290039841085,738,0,1250.0,,738,86.58022,669,fade,1,1.59,1.59,1.59,0.001272,Sticker | Enemy Spotted (Holo),1.59,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0,738,0,1240.51,,738,86.58022,669,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0,738,0,1236.99,,738,86.58022,669,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0,738,0,1240.51,,738,86.58022,669,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0,738,0,1236.99,,738,86.58022,669,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0190929062664508,398,0,989.0,,398,91.35462,438,fade,1,0.22,0.22,0.22,0.0002224469160768,Sticker | Blinky,0.22,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.026160967731814123,398,0,962.47,,398,91.35462,438,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.010258961100232118,398,0,967.16,,398,91.35462,438,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0261609677318141,398,0,962.47,,398,91.35462,438,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0102589611002321,398,0,967.16,,398,91.35462,438,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0002984048333019,179,0,1179.0,,179,84.39142,768,fade,4,56.2,14.05,14.05,0.0476675148430873,Sticker | Battle Scarred (Holo),14.05,Sticker | Battle Scarred (Holo),14.05,Sticker | Battle Scarred (Holo),14.05,Sticker | Battle Scarred (Holo),14.05,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0,179,0,1143.58,,179,84.39142,768,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0014390478801274663,179,0,1157.31,,179,84.39142,768,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0,179,0,1143.58,,179,84.39142,768,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0014390478801274,179,0,1157.31,,179,84.39142,768,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
